10a_R0	7.01	1.44	3.41	2.17	97.97	104.11
10a_R1	7.02	1.51	5.68	2.17	97.97	104.11
10b_R0	7.02	1.36	3.47	2.17	97.97	103.51
10b_R1	7.02	1.39	3.4	2.17	97.97	103.51
10d_R0	7.03	1.3	3.43	2.17	97.97	102.67
10d_R1	4.83	2.26	3.4	2.17	97.97	102.67

10a_R0	7.01	1.44	3.41	2.17	97.97	104.11
10a_R1	7.02	1.51	5.68	2.17	97.97	104.11
10b_R0	7.02	1.36	3.47	2.17	97.97	103.51
10b_R1	7.02	1.39	3.4	2.17	97.97	103.51
10d_R0	7.03	1.3	3.43	2.17	97.97	102.67
10d_R1	4.83	2.26	3.4	2.17	97.97	102.67
10a_R0	7.01	1.44	3.41	2.17	97.97	104.11
10a_R1	7.02	1.51	5.68	2.17	97.97	104.11
10b_R0	7.02	1.36	3.47	2.17	97.97	103.51
10b_R1	7.02	1.39	3.4	2.17	97.97	103.51
10d_R0	7.03	1.3	3.43	2.17	97.97	102.67
10d_R1	4.83	2.26	3.4	2.17	97.97	102.67
10a_R0	7.01	1.44	3.41	2.17	97.97	104.11
10a_R1	7.02	1.51	5.68	2.17	97.97	104.11
10b_R0	7.02	1.36	3.47	2.17	97.97	103.51
10b_R1	7.02	1.39	3.4	2.17	97.97	103.51
10d_R0	7.03	1.3	3.43	2.17	97.97	102.67
10d_R1	4.83	2.26	3.4	2.17	97.97	102.67
